,vtuber,music,original,collab,collabVTuber,id,channelId,publishedAt,memo
42,YuNi,残酷な天使のテーゼ,高橋洋子,False,,-Sp2pM-whLw,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-29 21:57:55,
43,YuNi,ラプンツェル,ヨルシカ,False,,vE3GNxYFawc,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-23 21:29:52,
44,YuNi,からくりピエロ,40mP,True,響木アオ,FCRRxX5PoX4,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-21 19:00:03,
45,YuNi,シャングリラ,チャットモンチー,False,,E87JNpw_prI,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-17 19:46:52,
46,YuNi,命に嫌われている,カンザキイオリ,False,,85LtMbcugjI,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-14 19:00:03,
47,YuNi,WHITE BREATH,T.M.Revolution,False,,n7LNDJFHukw,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-11 19:00:08,
48,YuNi,lemon,米津玄師,False,,NIOIRrLpYJU,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-08 20:00:02,
49,YuNi,タッチ,岩崎良美,False,,EAhwdJpODsM,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-05 18:00:01,
50,YuNi,太陽曰く燃えよカオス,這いよれ！ニャル子さん,False,,6TcYk_qGshM,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-03 19:00:01,
51,YuNi,crossing field,LiSA,False,,DGJAG7JH8Go,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-31 22:16:59,
52,YuNi,ペガサス幻想,聖闘士星矢,True,小山内めい,cyl1ZaRun3E,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-26 21:12:34,
53,YuNi,夏祭り,JITTERIN'JINN,False,,Q6h-qj3PncI,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-25 20:32:36,
54,YuNi,おねがいダーリン,ナナホシ管弦楽団,False,,uHT5tGjRbfg,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-22 20:50:53,
55,YuNi,secret base~君がくれたもの~,ZONE,False,,BjgmNg37WvU,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-19 20:00:36,
56,YuNi,打上花火,米津玄師,False,,TTJozNXj02g,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-16 21:11:22,
57,YuNi,名前のない怪物,EGOIST,False,,YRLVzP4ud_4,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-13 23:20:18,
58,YuNi,ハロ／ハワユ,ナノウ,False,,AgjgTQLddY0,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-10 20:00:01,
59,YuNi,ラムのラブソング,うる星やつら,False,,pK9IxSy9yXQ,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-07 20:30:01,
60,YuNi,異邦人,久保田早紀,False,,xb5ECqfmBVI,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-05 20:01:21,
61,YuNi,スーサイドパレヱド,ユリイ・カノン ,False,,ScBOvBW1KWA,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-03 21:51:01,
62,YuNi,シャルル,バルーン,False,,LjkDJHk2KrE,UCHTnX0CSX_KObo5I9WuZ64g,2018-07-01 16:00:04,
63,YuNi,砂の惑星,ハチ,False,,OdtLcNpsmwc,UCHTnX0CSX_KObo5I9WuZ64g,2018-06-29 20:25:57,
64,YuNi,星間飛行,ランカ・リー,False,,McRFlW3gV1M,UCHTnX0CSX_KObo5I9WuZ64g,2018-06-26 19:00:06,
65,YuNi,violet snow,violet evergarden,False,,Wn_DHMnQopI,UCHTnX0CSX_KObo5I9WuZ64g,2018-06-24 16:07:45,
66,YuNi,エイリアンエイリアン,ナユタン星人,False,,BxgZRlx_pDE,UCHTnX0CSX_KObo5I9WuZ64g,2018-06-22 19:00:01,
67,YuNi,sweets parade,髏々宮カルタ,False,,5bNokEpIYNQ,UCHTnX0CSX_KObo5I9WuZ64g,2018-06-20 23:00:56,
68,ときのそら,愛言葉Ⅲ,DECO*27,False,,pMFOJWPC0cA,UCp6993wxpyDPHUpavwDFqgg,2019-07-01 19:00:11,
69,ときのそら,ヒバナ,DECO*27,False,,QxBt0Z2MhZQ,UCp6993wxpyDPHUpavwDFqgg,2019-06-18 19:00:06,
70,ときのそら,地球最後の告白を,kemu,False,,stXcuwe1rrk,UCp6993wxpyDPHUpavwDFqgg,2019-05-20 19:00:10,
71,ときのそら,無限にホメてくれる桜乃そら先生,GYARI,True,ヨメミ,fmjkLJYmP4Y,UCp6993wxpyDPHUpavwDFqgg,2019-05-10 19:30:05,
72,ときのそら,ダンスロボットダンス,ナユタン星人,False,,RBIypzmpB9Q,UCp6993wxpyDPHUpavwDFqgg,2019-03-25 19:00:05,
73,ときのそら,ドーナツホール,ハチ,True,アメノセイ,bcwApgI4fXo,UCKgndddKiQGIn0-T8jHzndg,2019-03-17 19:00:07,
74,ときのそら,もってけ！セーラーふく,らき☆すた,True,Alt!!,zGT2mkZVtbI,UCp6993wxpyDPHUpavwDFqgg,2019-03-16 20:00:14,
